energy,tempo,danceability,loudness,liveness,valence,speechiness,instrumentalness,mode,key,duration_ms,acousticness,genre
0.138,77.0,0.633,-17.371,0.106,0.0397,0.0849,0.946,1.0,10.0,151958.0,0.958,lofi
0.138,87.528,0.233,-15.585,0.136,0.0346,0.0403,0.373,0.0,4.0,193875.0,0.904,ambient
0.139,102.462,0.2,-18.539,0.156,0.104,0.031,0.918,1.0,11.0,132200.0,0.881,electronic
0.139,103.549,0.245,-17.824,0.0867,0.149,0.0313,0.91,1.0,2.0,194307.0,0.593,electronic
0.14,135.982,0.621,-12.355,0.18,0.279,0.039,0.89,0.0,1.0,104210.0,0.921,world
0.141,130.018,0.542,-21.456,0.191,0.102,0.0749,0.109,0.0,3.0,112615.0,0.647,lofi
0.141,133.731,0.382,-23.702,0.0713,0.0385,0.0359,0.779,1.0,0.0,205075.0,0.802,electronic
0.142,84.931,0.561,-19.32,0.0967,0.37,0.154,0.9,1.0,0.0,204875.0,0.869,lofi
0.143,124.007,0.845,-14.408,0.117,0.3,0.146,0.939,1.0,0.0,128226.0,0.806,lofi
0.144,119.659,0.684,-17.419,0.241,0.573,0.0708,0.0249,0.0,11.0,168000.0,0.534,electronic
0.145,99.508,0.677,-14.238,0.12,0.698,0.0597,0.0,0.0,6.0,135080.0,0.929,electronic
0.145,127.457,0.377,-24.252,0.0926,0.26,0.04,0.955,1.0,6.0,91618.0,0.989,electronic
0.146,79.161,0.186,-23.549,0.286,0.0369,0.0349,0.938,1.0,1.0,303025.0,0.916,electronic
0.146,87.739,0.27,-22.956,0.111,0.0717,0.0392,0.811,0.0,9.0,132784.0,0.781,lofi
0.146,88.934,0.391,-15.246,0.0996,0.158,0.0438,0.000243,0.0,2.0,200821.0,0.984,electronic
0.146,105.081,0.697,-18.848,0.137,0.432,0.042,0.00353,0.0,4.0,155423.0,0.957,latin
0.147,97.493,0.796,-16.089,0.0927,0.568,0.0472,0.946,1.0,11.0,111112.0,0.501,world
0.147,128.563,0.466,-21.666,0.232,0.364,0.047,0.433,0.0,1.0,42442.0,0.529,lofi
0.148,81.927,0.196,-19.652,0.0895,0.0317,0.0381,0.888,1.0,7.0,113516.0,0.972,arabic
0.148,97.45,0.4,-22.677,0.0891,0.121,0.033,0.916,1.0,9.0,129143.0,0.932,lofi
0.149,82.019,0.485,-20.394,0.102,0.112,0.0282,0.917,0.0,8.0,99672.0,0.886,electronic
0.15,145.704,0.375,-20.322,0.105,0.143,0.0316,0.902,1.0,1.0,129973.0,0.98,lofi
0.151,67.141,0.202,-21.19,0.101,0.0361,0.0326,0.918,1.0,4.0,216053.0,0.884,electronic
0.151,79.993,0.5,-22.794,0.698,0.183,0.0305,0.891,1.0,2.0,170376.0,0.825,lofi
0.151,85.976,0.662,-16.44,0.165,0.322,0.0346,0.942,0.0,9.0,120004.0,0.317,world
0.151,99.779,0.304,-24.076,0.0896,0.0455,0.0339,0.926,1.0,7.0,251100.0,0.961,electronic
0.152,113.419,0.532,-24.397,0.121,0.152,0.0399,0.862,1.0,3.0,137579.0,0.986,electronic
0.153,80.004,0.622,-15.447,0.101,0.137,0.0385,0.917,0.0,6.0,270008.0,0.941,world
0.153,130.082,0.77,-12.745,0.113,0.265,0.0577,0.259,0.0,1.0,121846.0,0.875,lofi
0.154,120.408,0.345,-19.336,0.107,0.0388,0.0379,0.905,0.0,11.0,125989.0,0.493,electronic
0.155,65.143,0.0597,-17.235,0.0756,0.0338,0.0387,0.914,1.0,4.0,220046.0,0.917,electronic
0.155,72.199,0.267,-24.627,0.138,0.386,0.0502,0.28,0.0,10.0,135973.0,0.954,world
0.155,83.977,0.606,-15.136,0.143,0.642,0.0308,0.927,1.0,0.0,115851.0,0.71,world
0.156,94.08,0.671,-16.288,0.113,0.201,0.0371,0.0518,1.0,8.0,211960.0,0.804,ambient
0.157,76.85,0.503,-15.226,0.11,0.13,0.127,0.808,1.0,11.0,164800.0,0.527,lofi
0.158,70.022,0.73,-13.153,0.103,0.444,0.138,0.939,1.0,6.0,132857.0,0.813,lofi
0.159,56.162,0.0594,-20.13,0.0597,0.0302,0.0429,0.921,1.0,4.0,237351.0,0.895,electronic
0.159,72.38,0.403,-16.728,0.34,0.0381,0.104,0.0121,0.0,1.0,234761.0,0.961,ambient
0.16,56.449,0.0789,-18.144,0.0943,0.0409,0.0362,0.786,1.0,7.0,176373.0,0.733,electronic
0.16,85.984,0.761,-9.414,0.109,0.483,0.0825,0.927,1.0,9.0,136744.0,0.799,lofi
0.16,159.989,0.482,-20.33,0.188,0.0386,0.0895,0.924,1.0,10.0,132250.0,0.9,lofi
0.161,64.971,0.405,-14.691,0.108,0.0439,0.0296,0.796,1.0,0.0,170436.0,0.945,electronic
0.162,83.927,0.613,-12.162,0.106,0.376,0.035,0.894,0.0,0.0,154000.0,0.83,lofi
0.162,184.784,0.459,-11.634,0.137,0.483,0.0425,0.0,1.0,0.0,153609.0,0.929,latin
0.163,130.122,0.61,-21.359,0.105,0.0791,0.0366,0.951,0.0,9.0,147788.0,0.973,lofi
0.163,166.037,0.398,-24.801,0.0811,0.371,0.033,0.905,0.0,2.0,150361.0,0.987,electronic
0.163,168.056,0.69,-16.182,0.109,0.31,0.109,0.937,0.0,3.0,128661.0,0.932,lofi
0.165,119.976,0.869,-17.144,0.116,0.131,0.0812,0.911,0.0,5.0,184871.0,0.61,lofi
0.165,145.91,0.709,-18.894,0.205,0.537,0.068,0.945,0.0,4.0,99500.0,0.853,world
0.166,76.003,0.607,-19.259,0.0905,0.236,0.0351,0.427,0.0,10.0,126316.0,0.723,lofi
0.167,79.948,0.417,-20.834,0.065,0.0769,0.0295,0.916,0.0,4.0,221007.0,0.976,electronic
0.168,84.749,0.241,-16.267,0.373,0.556,0.0442,0.114,1.0,0.0,201840.0,0.965,electronic
0.168,96.936,0.509,-18.382,0.167,0.239,0.0279,0.519,0.0,5.0,129897.0,0.903,lofi
0.168,139.912,0.217,-20.041,0.338,0.0376,0.0402,0.938,1.0,8.0,402000.0,0.911,electronic
0.171,86.032,0.802,-14.176,0.101,0.523,0.0463,0.909,1.0,2.0,113895.0,0.684,lofi
0.172,124.058,0.713,-16.529,0.119,0.112,0.0488,0.963,0.0,3.0,140321.0,0.982,lofi
0.173,109.988,0.359,-16.974,0.361,0.146,0.0382,0.0,0.0,0.0,199133.0,0.924,rock
0.174,76.997,0.611,-15.889,0.0775,0.285,0.0478,0.928,1.0,8.0,124675.0,0.883,lofi
0.174,112.672,0.681,-8.745,0.0983,0.231,0.0315,3.35e-05,1.0,1.0,260285.0,0.837,pop
0.177,89.951,0.593,-14.415,0.118,0.101,0.0318,0.979,1.0,4.0,148667.0,0.933,arabic
0.177,144.299,0.639,-18.161,0.0895,0.275,0.096,0.502,1.0,7.0,119167.0,0.918,lofi
0.178,75.004,0.502,-18.497,0.174,0.15,0.0489,0.934,0.0,2.0,180792.0,0.918,lofi
